date,user,v,a,tweet
11/5/2015 2:32,TheCanarySays,2.96,5.68,As if things weren't bad enough for those caught up in the refugee crisis. Now this. https://t.co/YXP7F5PxUg
11/5/2015 3:35,TexasBaptists,5.76,5.83,Winter is coming and #Syrianrefugees in Lebanon need our help. Join us in providing Refugee Relief in this area. https://t.co/gvViGSaeAa
11/5/2015 3:55,AnnieCraik,6.15,5.78,RT @SusanCalman: Cracking line up for this comedy show on 11th Nov raising urgent funds for the refugee crisis this winter https://t.co/XQ…
11/5/2015 4:19,WorldNews_24h,6.8,5.99,RT MatejPovse: I am very honored to see my photos in Newsweek magazine. https://t.co/6mz3x1kPOK https://t.co/N5wD8vjelr …
11/5/2015 4:37,njmaha8518,6.8,5.99,I am very honored to see my photos in @Newsweek magazine. https://t.co/mMBYXur1nJ https://t.co/E4jHk3i522
11/5/2015 5:29,TXBDisasteRecov,5.76,5.83,RT @TexasBaptists: Winter is coming and #Syrianrefugees in Lebanon need our help. Join us in providing Refugee Relief in this area. https:/…
11/5/2015 12:29,chinawongs,3.57,5.51,RT @UNrefugees: “it will not be long before a child freezes to death” - dire warnings from the #refugee crisis in #Europe https://t.co/47oO…
11/5/2015 16:42,KlaraSkrinjar,6.53,5.63,RT @jaredtmiller: Thrilled to be able to feature a selection @MatejPovse's work on the refugee route through the Balkans in the mag! https:…
11/5/2015 17:38,lawbibliophile,5.57,5.79,RT @wiggywalsh: Please come to this 11th Nov. We're raising urgent funds for the refugee crisis this winter. https://t.co/hYvCMwOUAy https:…
11/5/2015 19:23,ERrisk,5.88,5.66,#MultiHazard - #HEWS UNHCR launches new funding appeal for refugees as winter weather hits Europe https://t.co/HNSy1r34C5
11/5/2015 19:37,Disaster__Watch,5.84,5.42,https://t.co/yNS4D5SCLP * UNHCR launches new funding appeal for refugees as winter weather hits Europe: Source: ... https://t.co/fIB2uyVuPR
11/5/2015 19:37,C4Dglobal,5.84,5.42,#ReliefWeb. UNHCR launches new funding appeal for refugees as winter weather hits Europe: Source: U... https://t.co/cUoNibeK3P #globaldev
11/5/2015 19:50,RW_Headlines,5.88,5.66,UNHCR launches new funding appeal for refugees as winter weather hits Europe https://t.co/6N3oKpM4S4
11/5/2015 20:15,revbobhorrocks,4.66,5.03,There are alternatives to the current crisis https://t.co/T5WZAtendd
11/5/2015 20:50,K_Anckarstrom,4.55,3.79,"RT @newint: Refugee crisis worsens in #Lesbos as winter looms, NI co-editor @Hazel_Healy reports back. https://t.co/HyUeG65Cd3 https://t.co…"
11/5/2015 22:12,ricelaker,5.44,5.55,Refugee crisis worsens in Lesbos as winter looms -- New Internationalist https://t.co/qFOGfsRPK5
11/5/2015 22:20,b_toledoh,6.3,5.39,UNHCR launches new funding appeal for #refugees in Europe's winter https://t.co/gjZRhVSj9y via @reliefweb @Refugees https://t.co/62lwndFeev
11/5/2015 22:53,TanyaMSteele,4.01,3.61,Report from #refugee crisis on Lesvos from @savechildrenuk @KateOSully https://t.co/Bh5JduSLxm @BuzzFeed
